Document,Label
"I like caretakers , and restaurants too .",1
"I like cartoons , and novels too .",1
"I do not like jellyfish , I prefer cats .",1
"I do not like oaks , I prefer shrubs .",1
"I like thrillers , and movies too .",0
I use PVC more than cotton .,1
I like dogs more than whales .,1
"I like rings , and scarfs too .",1
"I like enduros , and motorcycles too .",0
"I met clerks , but not geneticists .",1
"I like movies , but not videogames .",1
"I like Merlot , and sprite too .",1
I like clerks more than astronomers .,1
"I like pets , except cats .",1
"I like pets , except giraffes .",0
"I like cutlery , but not tables .",1
"I like skirts , except jewelry .",0
I like wine more than beer .,1
"I like socks , but not clothes .",0
"He does not trust his touch , he prefers reconstructions .",1
"I like pines , and animals too .",1
"I like workers , except clerks .",1
"I like clerks , except schools .",0
"I do not like paintings , I prefer essays .",1
"I like Chardonnay , except water .",0
"I do not like veal , I prefer caviar .",1
I like bushes more than firs .,1
I like firs more than grass .,1
"I like books , but not essays .",1
"I like shoes , but not skirts .",1
"I like glasses , but not necklaces .",1
"I do not like bulldogs , I prefer hamsters .",1
"I like sports , but not blues .",1
"I like music , but not boardgames .",1
"I like hamsters , but not parrots .",1
"I do not like parquet , I prefer tables .",1
"I do not like jewelry , I prefer earrings .",0
"He likes sadness , except stupidity .",0
"I do not like Kawasakis , I prefer ships .",1
"I do not like beer , I prefer Zinfandel .",1
I like westerns more than movies .,0
"I like cats , except ducks .",0
"I like jellyfish , but not dogs .",1
"I like ducks , except hamsters .",0
I like clothes more than glasses .,1
"He trusts his touch , except reports .",0
"I met astronomers , but not waiters .",1
"I like bulldogs , but not cats .",1
"I like water , except Chianti .",0
"I like clerks , but not schools .",1
I like thrillers more than boardgames .,1
"I do not like workers , I prefer offices .",1
"I like dogs , and beagles too .",0
"I like videogames , except documentaries .",0
"He likes wisdom , but not joy .",1
"I do not like trousers , I prefer glasses .",1
I like water more than Zinfandel .,1
"I like shirts , but not shoes .",1
I like oysters more than beef .,1
"I use glass , and vinyl too .",1
"I like restaurants , except caretakers .",0
He likes emotions more than joy .,0
"I do not like salmon , I prefer chicken .",1
"I like sports , except blues .",0
"I like ducks , and dogs too .",1
"I do not like essays , I prefer thrillers .",1
"I met scientists , but not astronomers .",1
"I like novels , but not cartoons .",1
"I do not like whales , I prefer rabbits .",1
"I like huskies , and cats too .",1
"I like sprite , but not Zinfandel .",1
"I do not like thrillers , I prefer boardgames .",1
"I like shoes , except necklaces .",0
"I do not like necklaces , I prefer shoes .",1
"I do not like birches , I prefer bushes .",1
"I like furniture , and beds too .",0
"I like pigs , and blackbirds too .",1
"I like trousers , except glasses .",0
"He likes stupidity , except joy .",0
"I like seafood , but not salmon .",1
"He does not like love , he prefers wisdom .",1
He likes emotions more than wisdom .,1
I like clothes more than pets .,1
"I like novels , and paintings too .",1
"He trusts his taste , and rumors too .",1
"I like firs , except trees .",0
He trusts his taste more than rumors .,1
"I like beagles , except dogs .",0
"I like movies , and westerns too .",0
I like jazz more than sports .,1
"I like Harley-Davidson , except airplanes .",0
"I do not like Harley-Davidson , I prefer airplanes .",1
I like glasses more than earrings .,1
"I like veal , and caviar too .",1
I like rings more than shoes .,1
"I like broccoli , but not lard .",1
"I like huskies , but not hamsters .",1
"He trusts his taste , except rumors .",0
I like wallpaper more than wardrobes .,1
I like ducks more than hamsters .,1
"I use PVC , and cotton too .",1
"He likes emotions , but not wisdom .",1
"I do not like blackbirds , I prefer dogs .",1
"I do not like paintings , I prefer chairs .",1
"I like fish , but not prosciutto .",1
I like furniture more than paintings .,1
"I like pigs , but not ducks .",1
"I like dogs , and bulldogs too .",0
I use PVC more than wood .,1
"I like rabbits , except bears .",0
"I met geneticists , except scientists .",0
"I like grass , but not oaks .",1
"I like techno , and sports too .",1
"I like rings , except glasses .",0
"I like animals , except oaks .",0
"I like boardgames , except techno .",0
I like beer more than Zinfandel .,1
"I like planes , and Suzukis too .",1
"I like Zinfandel , except beer .",0
"I like rabbits , and bulldogs too .",1
"I like necklaces , but not jewelry .",0
"I use plastic , but not vinyl .",1
"I do not like waiters , I prefer restaurants .",1
"I do not like pets , I prefer trousers .",1
I like earrings more than shirts .,1
"I like beagles , and cats too .",1
I like trousers more than glasses .,1
"I do not like bicycles , I prefer Harley-Davidson .",1
"I do not like restaurants , I prefer clerks .",1
"I like essays , and comedies too .",1
"I like birches , except grass .",0
I like jellyfish more than rabbits .,1
"I do not like Chardonnay , I prefer sprite .",1
"I like necklaces , except glasses .",0
"I met scientists , but not janitors .",1
"I do not like clerks , I prefer biologists .",1
I like paintings more than essays .,1
"I like trains , except Suzukis .",0
"I like trees , except birches .",1
"He does not trust rumors , he prefers his taste .",1
"I like parrots , but not bobtails .",1
"I like wine , but not sprite .",1
"I do not like motorcycles , I prefer enduros .",0
"I like professors , except schools .",0
"I like beef , and crabs too .",1
"I do not like crabs , I prefer veal .",1
"I do not like ships , I prefer Harley-Davidson .",1
"I like hamsters , except pets .",0
"I like handbooks , and music too .",1
"I like novels , but not music .",1
"I like trains , and Kawasakis too .",1
"I met biologists , except scientists .",0
"I like earrings , except glasses .",0
"I do not like glass , I prefer polyester .",1
"I do not like PVC , I prefer cotton .",1
"He trusts guesses , and his touch too .",1
"I use wood , and polyester too .",1
"He trusts his touch , and reconstructions too .",1
"I like shirts , and earrings too .",1
"I like jewelry , except bracelets .",1
"I like ham , but not pork .",0
"I like bulldogs , and cats too .",1
"I like handbooks , except paintings .",0
"I like tables , and parquet too .",1
"I do not like videogames , I prefer thrillers .",1
I like dogs more than ducks .,1
"He trusts reports , except his touch .",0
I like chairs more than cutlery .,1
"I do not like earrings , I prefer skirts .",1
"I like boardgames , except comedies .",0
I like clerks more than offices .,1
"He likes emotions , but not calculations .",1
"I like boardgames , except documentaries .",0
I like ham more than fish .,1
"I do not like comedies , I prefer videogames .",1
"He does not trust reports , he prefers his hearing .",1
"I do not like books , I prefer textbooks .",0
"I like boardgames , but not techno .",1
"I like crabs , but not veal .",1
"I like bulldogs , and rabbits too .",1
"I met waiters , and astronomers too .",1
"I like textbooks , but not paintings .",1
"I like offices , but not professors .",1
"I like giraffes , and hamsters too .",1
"I do not like glasses , I prefer rings .",1
I like food more than blues .,1
"I like fish , except ham .",0
"I do not like restaurants , I prefer professors .",1
"I use polyester , but not plastic .",0
I like waiters more than schools .,1
"I like turkey , except salmon .",0
"I like planes , and Kawasakis too .",1
I like jewelry more than socks .,1
"I like music , except essays .",0
"I do not like water , I prefer Chardonnay .",1
"He trusts his hearing , and reports too .",1
"I like chicken , except caviar .",0
"I do not like animals , I prefer oaks .",1
"I like chairs , and parquet too .",1
"I like workers , but not factories .",1
I use leather more than polyester .,1
"I like salmon , and turkey too .",1
"I do not like biologists , I prefer caretakers .",1
"He likes joy , except calculations .",0
"I like blues , except boardgames .",0
"I like boardgames , but not westerns .",1
I like schools more than clerks .,1
"I like dogs , but not bulldogs .",1
I like trees more than birches .,0
"He likes fear , and calculations too .",1
"I like beer , except Chianti .",0
"I like bobtails , except cats .",0
I use nylon more than wood .,1
"I use leather , except polyester .",0
"I do not like birds , I prefer pigs .",1
"He trusts his senses , but not rumors .",1
"I like Zinfandel , except sprite .",0
"I use nylon , but not leather .",1
"I like hamsters , and giraffes too .",1
"I like thrillers , but not videogames .",1
"I like parrots , and bobtails too .",1
"I like techno , except music .",0
"I like handbooks , except books .",0
I use wood more than PVC .,1
"I do not like glasses , I prefer bracelets .",1
"I do not like Merlot , I prefer water .",1
I like huskies more than dogs .,0
"I like lard , and pork too .",0
"I like chicken , except crabs .",0
"I like shirts , except jewelry .",0
I use nylon more than plastic .,0
I like books more than handbooks .,0
I like ducks more than pigs .,1
He likes emotions more than stupidity .,1
"I do not like essays , I prefer comedies .",1
"I like workers , except offices .",0
I like dogs more than cats .,1
He likes logic more than fear .,1
"I like beer , but not Merlot .",1
"I like thrillers , but not textbooks .",1
"He trusts his sight , but not his senses .",0
"I like fish , except bacon .",0
"I like skirts , but not jewelry .",1
"I like huskies , and rabbits too .",1
I use glass more than vinyl .,1
He likes calculations more than sadness .,1
I use plastic more than leather .,1
"I like rock , and music too .",0
I like seafood more than oysters .,0
I like turkey more than caviar .,1
"He likes logic , except joy .",0
"I like birds , but not dogs .",1
I like tables more than wallpaper .,1
"I do not like polyester , I prefer glass .",1
"I like Suzukis , and motorcycles too .",0
"I do not like bicycles , I prefer Kawasakis .",1
"He does not like sadness , he prefers calculations .",1
"I like rabbits , except pets .",0
"I like bushes , but not firs .",1
"I do not like dogs , I prefer blackbirds .",1
"I like bobtails , but not rabbits .",1
I like hamsters more than pets .,0
"I like movies , except boardgames .",0
"I use cotton , but not PVC .",1
"I met geneticists , except clerks .",0
"He trusts guesses , except his taste .",0
"He likes logic , but not love .",1
"I like Kawasakis , but not trains .",1
"I like cats , but not whales .",1
"I like jazz , but not music .",0
"I met biologists , but not scientists .",0
"I like trees , but not bushes .",1
"I do not like skirts , I prefer jewelry .",1
"I do not like glass , I prefer PVC .",1
"I like bobtails , except dogs .",0
He trusts his hearing more than his senses .,0
"I like parquet , and chairs too .",1
"He likes emotions , and stupidity too .",1
"I like techno , but not music .",0
I like birds more than ducks .,0
"I like movies , except westerns .",1
"I like Zinfandel , and wine too .",0
"I do not like trees , I prefer pines .",0
"I like earrings , but not shirts .",1
"I like rabbits , except bobtails .",0
"I like bears , except dogs .",0
"I like cats , and parrots too .",1
"I like workers , but not restaurants .",1
I like novels more than cartoons .,1
"I like wine , and water too .",1
"I like pets , and shirts too .",1
"I met scientists , except waiters .",0
I like books more than music .,1
"I like turkey , except caviar .",0
"I like waiters , but not offices .",1
I like dogs more than bulldogs .,0
"He trusts his senses , but not his taste .",1
"I do not like carrots , I prefer lard .",1
"I like bobtails , except hamsters .",0
I like jazz more than jewelry .,1
"I do not like giraffes , I prefer dogs .",1
"I like carrots , but not ham .",1
"I like pork , and broccoli too .",1
"I like wardrobes , except paintings .",0
I like socks more than pets .,1
"I like books , except textbooks .",1
"I like dogs , except blackbirds .",0
"I do not like dogs , I prefer whales .",1
"I do not like beagles , I prefer cats .",1
"I like music , except food .",0
"I like bracelets , but not glasses .",1
"I do not like comedies , I prefer essays .",1
"I like music , and textbooks too .",1
"I do not like parrots , I prefer dogs .",1
"I do not like broccoli , I prefer bacon .",1
I like beds more than paintings .,1
"I like schools , but not clerks .",1
"I like westerns , but not essays .",1
"I like turkey , but not caviar .",1
"I like workers , but not professors .",1
"I use plastic , except glass .",0
"I like jewelry , except shirts .",0
"I like jellyfish , but not rabbits .",1
"I like blues , and food too .",1
"I like parrots , except cats .",0
"I like rabbits , except whales .",0
"I like workers , except professors .",1
"I like rings , except jewelry .",0
I like boardgames more than rock .,1
"I like jewelry , except trousers .",0
"I like pines , except grass .",0
"I like pigs , but not sparrows .",1
"I do not like dogs , I prefer bears .",1
"I like clerks , and factories too .",1
"I like hamsters , but not jellyfish .",1
I like wine more than coca-cola .,1
"I like scarfs , except necklaces .",0
"I like jazz , except jewelry .",0
"I do not like tables , I prefer paintings .",1
"I like blues , but not boardgames .",1
"I use PVC , but not glass .",1
"He does not trust guesses , he prefers his touch .",1
"I do not like beds , I prefer paintings .",1
"I like jewelry , except earrings .",1
"I use wood , except PVC .",0
"I like birds , except hamsters .",0
"I like skirts , but not clothes .",0
"I like oysters , but not seafood .",0
"I do not like fish , I prefer prosciutto .",1
He likes stupidity more than sadness .,1
I like parquet more than wardrobes .,1
"I do not like sparrows , I prefer birds .",0
"I do not like bracelets , I prefer shoes .",1
"I like documentaries , but not boardgames .",1
"I like dogs , but not cats .",1
"He trusts reconstructions , and his taste too .",1
"He trusts his taste , but not reports .",1
I use polyester more than glass .,1
"I do not like rock , I prefer sports .",1
"I like sparrows , except pigs .",0
"I like furniture , except paintings .",0
"I like clerks , but not restaurants .",1
"I do not like essays , I prefer books .",0
"I do not like textbooks , I prefer cartoons .",1
I like wallpaper more than tables .,1
"I do not like shrubs , I prefer pines .",1
"I like beagles , except hamsters .",0
"I like huskies , and dogs too .",0
I like essays more than films .,1
"I like lard , but not carrots .",1
"He trusts rumors , but not his sight .",1
I like motorcycles more than Kawasakis .,0
I like cats more than bobtails .,1
"I do not like jewelry , I prefer skirts .",1
"I like paintings , but not handbooks .",1
"I like bacon , except carrots .",0
"I like birches , and animals too .",1
"I do not like boardgames , I prefer westerns .",1
"I like earrings , but not jewelry .",0
I like bears more than cats .,1
I like ducks more than cats .,1
"I like ships , but not Harley-Davidson .",1
"He likes logic , but not fear .",1
"He trusts his taste , but not guesses .",1
"He trusts his taste , but not his senses .",0
"I like jewelry , but not earrings .",1
"I use wood , except vinyl .",0
"I like comedies , except textbooks .",0
"He likes joy , and calculations too .",1
"I like planes , except Kawasakis .",0
"I do not like rabbits , I prefer bears .",1
"I met caretakers , but not physicists .",1
"I do not like ducks , I prefer dogs .",1
He trusts his hearing more than reports .,1
"He likes stupidity , but not joy .",1
"I like crabs , and beef too .",1
I like Suzukis more than trains .,1
"I like pets , except hamsters .",1
"I like hamsters , except blackbirds .",0
He likes sadness more than wisdom .,1
"I like Kawasakis , and motorcycles too .",0
"I do not like music , I prefer textbooks .",1
"I like shrubs , except pines .",0
I like bobtails more than dogs .,0
"He trusts his taste , except guesses .",0
"I like oysters , except beef .",0
"He trusts his touch , except reconstructions .",0
I like shirts more than jewelry .,1
"I like rings , but not scarfs .",1
"I like jewelry , and necklaces too .",0
I like sparrows more than pigs .,1
"I like parrots , but not cats .",1
"I like pets , but not whales .",1
I like pigs more than ducks .,1
I like ships more than Suzukis .,1
"I do not like books , I prefer paintings .",1
"I like textbooks , except documentaries .",0
"He trusts rumors , except his hearing .",0
"I like pigs , except sparrows .",0
"I do not like trains , I prefer Harley-Davidson .",1
I like sparrows more than dogs .,1
"I like lard , except broccoli .",0
"I like novels , and cartoons too .",1
"I do not like trains , I prefer enduros .",1
"I like jazz , and jewelry too .",1
"I like techno , but not food .",1
"I like tables , except paintings .",0
"I like Suzukis , but not trains .",1
"I like trees , except grass .",0
"I use plastic , but not cotton .",1
"I like rings , but not handbags .",1
"I met physicists , but not janitors .",1
I like offices more than professors .,1
"I like blackbirds , and birds too .",0
I like cats more than beagles .,1
"I like Suzukis , but not ships .",1
"He does not trust his taste , he prefers reconstructions .",1
"I like bobtails , and parrots too .",1
"I do not like firs , I prefer bushes .",1
"I do not like beer , I prefer Merlot .",1
I like wardrobes more than paintings .,1
"I do not like documentaries , I prefer boardgames .",1
"I like ham , but not broccoli .",1
"He does not like logic , he prefers fear .",1
"I like rings , and glasses too .",1
I like dogs more than pets .,0
"I met waiters , except geneticists .",0
"I like trousers , but not jewelry .",1
"I like ducks , but not dogs .",1
"I do not like trains , I prefer Suzukis .",1
"I do not like seafood , I prefer crabs .",0
"I like dogs , and jellyfish too .",1
"He trusts his taste , and guesses too .",1
"I like tables , but not parquet .",1
"I like bacon , but not carrots .",1
He trusts reconstructions more than his hearing .,1
"I like handbags , and necklaces too .",1
"I like rings , but not shoes .",1
"He does not trust his hearing , he prefers his senses .",0
"I like ships , but not Suzukis .",1
I like cats more than huskies .,1
"He likes stupidity , but not sadness .",1
I like novels more than books .,0
I like parrots more than pigs .,1
"I do not like birds , I prefer sparrows .",0
"I like caretakers , but not offices .",1
I like jewelry more than shoes .,1
"I like clothes , except trousers .",1
"I like trains , but not Harley-Davidson .",1
"I like jewelry , and handbags too .",1
I like pork more than bacon .,0
"He does not like emotions , he prefers stupidity .",1
He likes emotions more than love .,0
"I use cotton , but not polyester .",1
"I like textbooks , except cartoons .",0
"I like beds , except wallpaper .",0
"I like cats , but not sparrows .",1
"I like shrubs , and pines too .",1
"I like food , and blues too .",1
"I like cats , except jellyfish .",0
"I like textbooks , and westerns too .",1
I like clothes more than shirts .,0
"I do not like boardgames , I prefer blues .",1
"He does not like wisdom , he prefers love .",1
"I like essays , except cartoons .",0
"I like waiters , and workers too .",0
"I like jazz , but not boardgames .",1
"I do not like parquet , I prefer beds .",1
"I like scarfs , except rings .",0
"I like jewelry , but not handbags .",1
"I met caretakers , but not geneticists .",1
"I like hamsters , and parrots too .",1
"I like salmon , but not turkey .",1
"I do not like sparrows , I prefer cats .",1
"I do not like beer , I prefer Chardonnay .",1
"He likes logic , except fear .",0
"I met geneticists , but not scientists .",0
"I like bushes , and pines too .",1
"I like food , but not rock .",1
"I like enduros , and ships too .",1
"I met scientists , and clerks too .",1
"I like broccoli , except lard .",0
"I do not like chairs , I prefer paintings .",1
"He trusts his senses , except his touch .",1
I like clothes more than jewelry .,1
"I like birches , but not grass .",1
"I do not like wine , I prefer coca-cola .",1
"I like jellyfish , and hamsters too .",1
"I like coca-cola , but not Merlot .",1
"I like movies , but not westerns .",1
I like essays more than books .,0
"I do not like comedies , I prefer boardgames .",1
"I like bracelets , and jewelry too .",0
"I like paintings , but not essays .",1
"I like comedies , except essays .",0
I like hamsters more than beagles .,1
"I like enduros , but not bicycles .",1
"I like novels , and books too .",0
"I like furniture , but not cutlery .",1
I like salmon more than seafood .,0
"I like books , and novels too .",0
"I do not like bushes , I prefer pines .",1
I like textbooks more than cartoons .,1
"I like pigs , and sparrows too .",1
"I do not like plastic , I prefer cotton .",1
"I like water , but not Merlot .",1
"I like cartoons , except essays .",0
"I met scientists , except clerks .",0
"I like sparrows , and dogs too .",1
"I use leather , but not vinyl .",1
"I like documentaries , except essays .",0
"I like glasses , and earrings too .",1
"I like Chianti , and sprite too .",1
I like textbooks more than paintings .,1
"I like dogs , but not rabbits .",1
He likes love more than stupidity .,1
"I like films , but not novels .",1
I like physicists more than clerks .,1
"I like clothes , except glasses .",0
"I like books , but not novels .",1
"I use PVC , and wood too .",1
"I do not like physicists , I prefer waiters .",1
"I do not like essays , I prefer music .",1
"I like hamsters , except jellyfish .",0
I use vinyl more than leather .,1
"I like movies , but not essays .",1
"I do not like pigs , I prefer ducks .",1
"He likes love , and stupidity too .",1
"I like bracelets , and handbags too .",1
"I do not like beagles , I prefer parrots .",1
"I like techno , except jewelry .",0
"I like necklaces , but not shoes .",1
"I met waiters , except astronomers .",0
"I do not like oaks , I prefer bushes .",1
"He likes calculations , but not fear .",1
"I like seafood , but not oysters .",1
"I met scientists , except geneticists .",1
I like crabs more than veal .,1
"I like westerns , except textbooks .",0
"I like fish , except lard .",0
"I do not like waiters , I prefer biologists .",1
"I use nylon , but not glass .",1
"I like blues , but not music .",0
"I like essays , and westerns too .",1
"I like paintings , and essays too .",1
"I like factories , and professors too .",1
"I like broccoli , but not ham .",1
"I like workers , except factories .",0
"I like bicycles , but not Harley-Davidson .",1
"He likes stupidity , and love too .",1
"I like planes , except Suzukis .",0
"He likes emotions , except love .",1
"I do not like shoes , I prefer necklaces .",1
"I like beef , but not caviar .",1
"I like pets , but not giraffes .",1
"I like seafood , but not chicken .",1
"I like dogs , except ducks .",0
I like crabs more than chicken .,1
"I like videogames , and comedies too .",1
"I like professors , and factories too .",1
"I met scientists , but not clerks .",1
"I do not like shoes , I prefer rings .",1
"I like bushes , but not oaks .",1
"I like novels , except books .",0
"I like trees , but not grass .",1
I like beagles more than cats .,1
"I like waiters , and schools too .",1
I like bulldogs more than rabbits .,1
"I like professors , and workers too .",0
"I like ham , and broccoli too .",1
"I met biologists , but not clerks .",1
"I like bushes , and birches too .",1
"I like hamsters , except bulldogs .",0
"I do not like leather , I prefer polyester .",1
"I like bracelets , except shoes .",0
"I like ham , and fish too .",1
I like paintings more than textbooks .,1
"I like Kawasakis , but not airplanes .",1
"I like oysters , and veal too .",1
"I like jewelry , and rings too .",0
"I like glasses , and socks too .",1
"I like textbooks , but not films .",1
"I like clothes , and earrings too .",1
I like earrings more than trousers .,1
"I like professors , except restaurants .",0
"I like Kawasakis , and airplanes too .",1
"I do not like offices , I prefer professors .",1
"He trusts his touch , and guesses too .",1
I like caretakers more than schools .,1
"I do not like caviar , I prefer turkey .",1
"I like chairs , but not paintings .",1
"I use nylon , except glass .",0
"I do not like thrillers , I prefer essays .",1
"I like pork , but not bacon .",1
I like physicists more than waiters .,1
"I like furniture , except wallpaper .",0
"I do not like trousers , I prefer earrings .",1
I like biologists more than scientists .,0
"I like seafood , and salmon too .",0
"I like wardrobes , except parquet .",0
"I like boardgames , except blues .",0
"I like hamsters , except whales .",0
"I like books , but not music .",1
"I do not like cartoons , I prefer essays .",1
"I do not like beef , I prefer salmon .",1
"I use plastic , and wood too .",1
"I like cutlery , but not wardrobes .",1
I like firs more than shrubs .,1
"I do not like Harley-Davidson , I prefer ships .",1
I like boardgames more than jazz .,1
"I do not like schools , I prefer waiters .",1
"I do not like cutlery , I prefer tables .",1
"I like jellyfish , except hamsters .",0
"I like handbooks , and cartoons too .",1
"I do not like vinyl , I prefer glass .",1
"I do not like glasses , I prefer socks .",1
"He trusts his taste , and his senses too .",0
I like scarfs more than bracelets .,1
"I do not like jewelry , I prefer bracelets .",0
"I like chicken , except salmon .",0
"I use wood , and vinyl too .",1
"I like lard , except fish .",0
I like restaurants more than professors .,1
"I like hamsters , except giraffes .",0
"I like pets , and whales too .",1
"He does not like emotions , he prefers sadness .",0
"I do not like birches , I prefer grass .",1
"I like handbags , and rings too .",1
"I do not like grass , I prefer pines .",1
I like paintings more than tables .,1
"I like broccoli , but not prosciutto .",1
I like blackbirds more than hamsters .,1
"I do not like sparrows , I prefer hamsters .",1
"I met janitors , but not biologists .",1
"I like movies , and videogames too .",1
I like essays more than thrillers .,1
"I like turkey , except crabs .",0
I like handbooks more than books .,0
"He likes fear , except logic .",0
"I like firs , but not animals .",1
I like food more than jazz .,1
I like sprite more than Merlot .,1
"I like schools , but not professors .",1
I like lard more than carrots .,1
"I do not like novels , I prefer films .",1
"He likes fear , and wisdom too .",1
"I like offices , but not caretakers .",1
"I like dogs , except rabbits .",0
"I like scarfs , except earrings .",0
"I like pets , but not dogs .",1
"I like water , except Chardonnay .",0
"He likes stupidity , except sadness .",0
"I like films , except novels .",0
I like bears more than rabbits .,1
"I use nylon , except cotton .",0
I like cats more than bulldogs .,1
I like movies more than videogames .,1
I like restaurants more than waiters .,1
"He trusts his hearing , and reconstructions too .",1
"I use wood , and nylon too .",1
I like parrots more than bobtails .,1
I like boardgames more than comedies .,1
"I like essays , but not thrillers .",1
"I like beer , but not Chianti .",1
"I do not like food , I prefer techno .",1
I like books more than textbooks .,0
"He likes fear , and stupidity too .",1
"I like trains , but not Suzukis .",1
"He trusts his touch , except guesses .",0
I like handbooks more than films .,1
"I like ducks , except cats .",0
"I use plastic , and vinyl too .",0
"I like jewelry , and rock too .",1
I like giraffes more than rabbits .,1
"I like paintings , but not tables .",1
"I like professors , and offices too .",1
"I met caretakers , except biologists .",0
"I like schools , and caretakers too .",1
"I like jewelry , and techno too .",1
"I met clerks , and astronomers too .",1
"I like jewelry , and blues too .",1
He likes joy more than emotions .,0
"I met biologists , except janitors .",0
"I like clerks , but not offices .",1
"I do not like PVC , I prefer glass .",1
"I like bracelets , but not handbags .",1
"I met biologists , but not janitors .",1
"I like parquet , and beds too .",1
"I like glasses , except skirts .",0
I like seafood more than beef .,1
"I like pets , but not hamsters .",1
I like beagles more than rabbits .,1
"He likes wisdom , and sadness too .",1
I like clothes more than socks .,0
"I like pets , except rabbits .",1
I like lard more than pork .,0
"I do not like polyester , I prefer leather .",1
"I use plastic , but not leather .",1
He trusts his touch more than reconstructions .,1
"I like beer , except Chardonnay .",0
"I like Suzukis , except bicycles .",0
"I like clothes , and glasses too .",1
"I like fish , and ham too .",1
"He trusts his sight , and guesses too .",1
"I like shrubs , but not firs .",1
"I like sports , but not rock .",1
"I like handbags , and earrings too .",1
"I like jellyfish , and cats too .",1
"I do not like techno , I prefer food .",1
"I do not like sprite , I prefer Merlot .",1
"I like films , and novels too .",1
"I do not like wood , I prefer PVC .",1
"I like pork , but not fish .",1
I like skirts more than glasses .,1
"I do not like bobtails , I prefer dogs .",0
"I do not like bracelets , I prefer jewelry .",0
"I met biologists , except waiters .",0
He trusts rumors more than his taste .,1
"I like jewelry , and trousers too .",1
"I met astronomers , and scientists too .",0
"I like pets , but not rabbits .",1
"I like apples , and lard too .",1
"I do not like turkey , I prefer oysters .",1
"I like enduros , and airplanes too .",1
I like pets more than whales .,1
"I met scientists , and biologists too .",0
"He likes sadness , and calculations too .",1
"I met astronomers , but not janitors .",1
"He trusts his taste , but not rumors .",1
"I like parrots , and hamsters too .",1
"I like ham , except pork .",0
"He does not trust his sight , he prefers his senses .",0
"I do not like water , I prefer Zinfandel .",1
"I like trousers , except earrings .",0
"I like jazz , but not jewelry .",1
"I do not like lard , I prefer pork .",0
"I do not like techno , I prefer sports .",1
I like handbags more than rings .,1
"I like pork , but not apples .",1
"I use leather , except nylon .",0
"I do not like necklaces , I prefer scarfs .",1
"I like rock , except sports .",0
I use glass more than polyester .,1
"I like birches , and grass too .",1
I like cats more than giraffes .,1
"I like skirts , and earrings too .",1
"I like huskies , and parrots too .",1
"I like books , but not textbooks .",1
"I do not like parrots , I prefer huskies .",1
I like coca-cola more than Zinfandel .,1
"I like books , and music too .",1
"I like prosciutto , but not fish .",1
"I like enduros , but not trains .",1
"I like broccoli , and ham too .",1
"I like sprite , except Merlot .",0
"I like socks , but not earrings .",1
I like Suzukis more than ships .,1
"I like firs , but not shrubs .",1
"I do not like books , I prefer films .",1
"I like clerks , and offices too .",1
"I like chairs , and cutlery too .",1
"I do not like janitors , I prefer geneticists .",1
"I like parrots , except beagles .",0
"I like schools , but not waiters .",1
"I like paintings , and beds too .",1
I like jewelry more than necklaces .,0
"I like bracelets , except jewelry .",0
"I like oaks , but not trees .",0
He trusts his touch more than rumors .,1
"I like ships , and Suzukis too .",1
"I do not like seafood , I prefer veal .",1
"I like chicken , and caviar too .",1
"I like documentaries , but not textbooks .",1
I like pets more than cats .,0
"I like blues , except sports .",0
"I like westerns , but not boardgames .",1
"I like chairs , and furniture too .",0
"I like textbooks , except thrillers .",0
"I like bracelets , but not scarfs .",1
"I like handbooks , and paintings too .",1
"I like cutlery , and wardrobes too .",1
I like coca-cola more than Chianti .,1
"I like cutlery , except beds .",0
"I do not like oysters , I prefer veal .",1
"I like Merlot , except coca-cola .",0
"I do not like dogs , I prefer bobtails .",0
"I like jewelry , except scarfs .",0
"I do not like huskies , I prefer parrots .",1
"I like beagles , except parrots .",0
"I like shrubs , but not oaks .",1
"I met geneticists , and waiters too .",1
He likes wisdom more than joy .,1
"He trusts rumors , but not his taste .",1
"He likes love , but not stupidity .",1
"I like dogs , but not bobtails .",1
"I like music , but not sports .",1
"I like birds , and cats too .",1
"I use nylon , except plastic .",0
"He does not trust rumors , he prefers his sight .",1
I like Chianti more than wine .,0
"I like giraffes , and rabbits too .",1
"I like dogs , and cats too .",1
"I like music , but not techno .",1
"I like planes , except Harley-Davidson .",0
"I like wine , except Chardonnay .",1
"I do not like shrubs , I prefer oaks .",1
"I like boardgames , and rock too .",1
I like necklaces more than scarfs .,1
"I like glasses , and trousers too .",1
"I do not like schools , I prefer clerks .",1
"I like bulldogs , and parrots too .",1
"I like lard , but not pork .",0
"I like pines , but not shrubs .",1
"I like tables , and paintings too .",1
"I do not like Kawasakis , I prefer airplanes .",1
"I do not like cats , I prefer jellyfish .",1
"I do not like clerks , I prefer restaurants .",1
"I like Chianti , and coca-cola too .",1
"I like Suzukis , but not airplanes .",1
"I met scientists , except janitors .",0
I like bobtails more than rabbits .,1
"I like ham , except broccoli .",0
"I like jewelry , but not socks .",1
I like astronomers more than clerks .,1
"He likes calculations , and fear too .",1
"I like parquet , but not chairs .",1
I like textbooks more than books .,0
"I like sports , and rock too .",1
"I like sprite , except Zinfandel .",0
"I like jellyfish , except dogs .",0
I like sparrows more than hamsters .,1
I like chicken more than oysters .,1
"I like clothes , except shoes .",0
"He likes fear , and logic too .",1
"He trusts guesses , except his touch .",0
"I like birches , and bushes too .",1
"I like carrots , but not prosciutto .",1
